,BuildingID,ViolationID
32511,448800,113
23519,352212,113
25044,363853,113
50103,85938,113
28088,388950,113
31546,43284,113
2758,119086,113
39967,64343,113
41299,66570,112
54570,949009,112
25717,371412,112
11856,228833,112
40466,65345,112
26842,377792,112
37998,59165,112
19819,323691,112
22239,344252,112
21393,337329,112
13634,25556,112
16434,29071,112
43210,696867,112
31212,43019,112
30134,41975,112
45101,77248,112
22487,346281,112
43959,71460,112
2370,117067,112
41446,66787,112
15169,28075,111
30679,42522,111
55998,97575,111
47426,808947,111
18357,309258,111
14823,27611,111
9112,20408,111
33226,46674,111
9358,20623,111
15150,28053,111
3017,120474,111
48281,812535,111
24871,363029,111
29697,41416,111
8309,19136,111
20296,327395,111
48339,81425,111
15099,27999,110
17569,302890,110
41612,66997,110
20090,326241,110
48443,81591,110
41753,672290,110
2899,119698,110
47231,808208,110
1368,110102,110
9687,209853,110
4771,138349,110
37614,57811,110
16247,28948,110
45351,78262,110
38043,59225,110
36701,5540,110
15519,28339,109
15047,27944,109
49749,847877,109
10326,21518,109
26755,377072,109
18808,313431,109
18669,312514,109
2678,118894,109
409,102644,109
26850,377835,109
1998,115286,109
1378,110124,109
20490,329132,109
13094,246466,109
44619,74525,109
21897,3411,109
20253,327182,108
38588,60790,108
33276,46760,108
13465,2520,108
8031,18783,108
23498,352146,108
12368,23458,108
48428,81573,108
19515,32076,108
23427,351727,108
24941,3634,108
27305,381183,108
2216,116674,108
10339,215339,108
7665,183907,108
40829,65871,108
13726,25713,108
13884,259951,108
7057,174245,108
31218,43026,108
11811,22841,107
32852,45746,107
16869,296130,107
46037,803887,107
3286,122027,107
48475,81664,107
9291,205812,107
33534,47490,107
48392,815025,107
10572,217710,107
40125,64662,107
29263,406939,107
20318,327539,107
19093,315873,107
32821,45716,107
47925,8107,107
4139,130310,107
16356,29027,107
27492,382687,106
16402,29055,106
23619,353043,106
45625,79053,106
8982,202146,106
52245,904234,106
22251,344317,106
22247,344304,106
8769,198181,106
14670,27352,106
48172,811858,106
29562,41231,106
20769,33214,106
8442,193229,106
13326,249533,106
2389,117104,106
31668,43391,106
11677,227184,106
30035,4182,106
47694,809860,106
12387,234697,106
11138,221658,106
31602,43323,105
8945,20144,105
19409,319037,105
16194,289149,105
14095,2652,105
22520,346370,105
8233,19029,105
29627,413399,105
2660,118820,105
2807,119181,105
39658,63785,105
53759,93750,105
43136,69528,105
30861,42739,105
50754,878031,105
34118,49166,105
49271,8351,105
10891,219733,105
16592,292812,105
1049,108495,105
41547,66878,104
52975,92616,104
34204,49315,104
54066,94244,104
38337,6010,104
37301,56977,104
34823,508465,104
14418,269865,104
13285,248660,104
43533,70386,104
2396,117111,104
49590,842723,104
46645,806132,104
39667,638178,104
39155,628602,104
4383,132331,104
18949,314703,104
16401,29054,104
29887,41668,104
28771,397535,104
23341,351147,104
31116,42929,104
17591,303027,104
31707,43445,104
48648,81857,104
11596,226570,103
39354,63184,103
13170,247352,103
15498,283278,103
33887,485989,103
22666,347180,103
51323,887618,103
12984,24462,103
49041,8252,103
4015,129406,103
53949,94088,103
2819,119271,103
22886,347795,103
31320,43120,103
41620,67002,103
18575,311498,103
2251,116751,102
12538,236520,102
51724,89494,102
55465,96821,102
48394,815027,102
35364,51786,102
4882,139850,102
1218,109430,102
55965,97540,102
44951,76575,102
41657,67102,102
14819,27606,102
10540,217283,102
55460,96817,102
48532,81714,102
8331,19194,102
428,102887,102
22207,343974,102
13537,253176,102
50811,8793,102
20342,327672,102
40330,650539,102
50447,87220,102
4945,140626,102
39644,63742,102
24133,357377,102
11773,228082,102
56020,97606,102
20267,327249,101
26701,37674,101
35523,52052,101
41418,66755,101
40815,658527,101
55852,97417,101
42097,676710,101
13143,247119,101
46730,80638,101
48508,81693,101
38526,60520,101
24860,362959,101
19132,316318,101
34345,49627,101
25079,363975,101
40689,65714,101
38737,61061,101
50599,875096,101
4695,137168,101
26058,373637,101
13286,248661,100
55859,97426,100
33027,46163,100
280,101347,100
37919,58969,100
2703,118980,100
31549,43286,100
16807,295730,100
15045,27942,100
2888,119640,100
48818,82085,100
628,104472,100
36499,54897,100
30163,420287,100
48445,81592,100
38009,59177,100
44840,75954,100
51463,89017,100
48263,812434,100
53865,939461,100
13175,247358,100
45095,77232,100
36793,5569,99
46607,805986,99
35747,527226,99
31616,43330,99
14445,270106,99
25022,363795,99
12562,237098,99
21423,3376,99
37190,5677,99
52200,9033,99
19895,324112,99
14541,271709,99
10685,21847,99
45118,77294,99
29752,41491,99
45951,80075,99
12967,244291,99
45000,768231,99
1838,113739,99
46018,8037,99
39673,63832,99
29665,41396,99
55515,96892,99
39033,6260,98
16346,29018,98
2485,117663,98
38705,61026,98
27621,38356,98
56273,97947,98
13414,25063,98
49545,842019,98
45955,80079,98
