BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Gov't Rent Subsidies Income,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES
1007970007,"$5,038,446",$0,"$5,038,446",$0,"$229,657",$0,"$5,640,192","$1,142,763"
1016610021,"$4,953,933","$11,829,090","$16,783,023",$0,$0,$0,"$17,869,148","$7,921,263"
4051370084,"$4,905,380",$0,"$4,905,380","$60,215",$0,"$6,732","$5,213,946","$2,582,034"
4051370012,"$4,903,014",$0,"$4,903,014",$0,$0,"$3,250","$5,126,422","$2,445,468"
2041610001,"$4,890,957",$0,"$4,890,957",$0,$0,"$119,688","$5,500,164","$3,391,036"
4105930002,"$4,889,787","$509,218","$5,399,005",$0,$0,"$239,193","$5,976,192","$3,452,016"
1010731201,"$4,877,084",$0,"$4,877,084",$0,$0,$0,"$4,924,862","$2,016,169"
1007350017,"$4,877,032",$0,"$4,877,032",$0,"$440,000",$0,"$5,448,373","$1,670,692"
1018760001,"$4,856,865",$0,"$4,856,865","$95,700",$0,$0,"$4,994,740","$1,941,143"
1011680010,"$4,853,924",$0,"$4,853,924",$0,"$1,791,945",$0,"$6,724,701","$1,877,250"
4051370093,"$4,803,281",$0,"$4,803,281","$60,718",$0,"$6,254","$5,094,422","$2,344,602"
3053200024,"$4,675,691",$0,"$4,675,691",$0,$0,$0,"$4,833,180","$1,406,532"
3019051201,"$4,670,319",$0,"$4,670,319",$0,$0,"$38,148","$4,911,984","$1,281,622"
4008690037,"$4,607,268",$0,"$4,607,268",$0,$0,$0,"$4,650,251","$1,421,747"
4008690037,"$4,607,268",$0,"$4,607,268",$0,$0,$0,"$4,650,251","$1,421,747"
4008690037,"$4,607,268",$0,"$4,607,268",$0,$0,$0,"$4,650,251","$1,421,747"
4008690037,"$4,607,268",$0,"$4,607,268",$0,$0,$0,"$4,650,251","$1,421,747"
4008690037,"$4,607,268",$0,"$4,607,268",$0,$0,$0,"$4,650,251","$1,421,747"
4008690037,"$4,607,268",$0,"$4,607,268",$0,$0,$0,"$4,650,251","$1,421,747"
4008690037,"$4,607,268",$0,"$4,607,268",$0,$0,$0,"$4,650,251","$1,421,747"
4008690037,"$4,607,268",$0,"$4,607,268",$0,$0,$0,"$4,650,251","$1,421,747"
3072320001,"$4,606,930",$0,"$4,606,930",$0,$0,$0,"$4,769,181","$2,818,584"
1012090001,"$4,588,741",$0,"$4,588,741",$0,"$293,643",$0,"$5,182,877","$3,063,380"
1004891102,"$4,556,787",$0,"$4,556,787",$0,$0,$0,"$4,561,946","$1,385,686"
4019180052,"$4,538,202",$0,"$4,538,202",$0,$0,"$118,216","$4,934,880","$2,320,464"
4019180095,"$4,525,962",$0,"$4,525,962",$0,$0,"$141,389","$4,870,855","$2,404,578"
1015000053,"$4,517,571",$0,"$4,517,571",$0,"$1,916,043",$0,"$6,683,755","$1,858,466"
