BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses
3002540015,"$207,961.00","$52,105.00","$260,066.00",$0.00,$0.00,$0.00,"$260,066.00",$0.00,"$57,241.00"
2031510026,"$207,891.00",$0.00,"$207,891.00",$0.00,$0.00,$0.00,"$207,891.00","$43,000.00","$109,385.00"
2028780211,"$207,754.00","$14,650.00","$222,404.00",$0.00,"$62,070.00","$5,502.00","$289,976.00",$0.00,"$156,485.00"
4014680055,"$207,669.00",$0.00,"$207,669.00",$0.00,$0.00,$0.00,"$207,669.00","$14,487.00","$189,534.00"
3051710046,"$207,549.00",$0.00,"$207,549.00",$0.00,$0.00,$0.00,"$207,549.00",$0.00,"$124,268.00"
1014530012,"$207,385.00","$14,950.00","$222,335.00",$0.00,$0.00,$0.00,"$222,335.00","$6,668.00","$101,274.00"
4001880013,"$207,385.00",$0.00,"$207,385.00",$0.00,$0.00,$0.00,"$207,385.00",$0.00,"$93,507.00"
4001880017,"$207,385.00",$0.00,"$207,385.00",$0.00,$0.00,$0.00,"$207,385.00",$0.00,"$86,262.00"
3047020021,"$207,380.00",$0.00,"$207,380.00",$0.00,$0.00,$0.00,"$207,380.00",$0.00,"$115,973.00"
2053960001,"$207,379.00",$0.00,"$207,379.00",$0.00,"$39,600.00",$0.00,"$246,979.00",$0.00,"$154,703.00"
1006100046,"$207,229.00","$156,330.00","$363,559.00",$0.00,$0.00,$0.00,"$365,040.00","$6,610.00","$129,654.00"
1003500033,"$207,209.00","$47,502.00","$254,711.00",$0.00,$0.00,$0.00,"$254,836.00",$0.00,"$123,655.00"
1021530068,"$207,209.00",$0.00,"$207,209.00",$0.00,"$317,928.00","$23,214.00","$671,058.00",$0.00,"$242,588.00"
4007010018,"$207,188.00",$0.00,"$207,188.00",$0.00,$0.00,$0.00,"$207,188.00",$0.00,"$145,467.00"
