BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Total Expenses
5000130008,"$2,728,849",$0,"$2,728,849",$0,$0,$0,"$1,651,628","$4,712,331","$4,241,949"
4096440001,"$2,727,794","$21,235","$2,749,029",$0,$0,$0,"$39,109","$2,987,768","$1,593,694"
4019180090,"$2,706,442",$0,"$2,706,442",$0,"$173,837",$0,"$5,187","$3,062,502","$1,892,596"
1011580033,"$2,704,276","$2,193,972","$4,898,248",$0,"$933,859",$0,$0,"$6,347,511","$4,237,797"
4012730001,"$2,703,352","$172,554","$2,875,906",$0,$0,$0,$0,"$2,900,983","$1,272,823"
4098380062,"$2,679,402",$0,"$2,679,402",$0,$0,$0,$0,"$2,769,719","$1,249,299"
2032300016,"$2,657,648","$61,418","$2,719,066",$0,"$120,000","$15,744","$22,598","$3,027,729","$1,596,101"
3019240036,"$2,653,908",$0,"$2,653,908",$0,"$5,200",$0,$0,"$2,744,482","$837,577"
1012510063,"$2,643,373",$0,"$2,643,373",$0,$0,$0,$0,"$2,643,373","$1,529,921"
4098490130,"$2,635,577","$36,875","$2,672,452","$32,400",$0,$0,"$1,080","$2,894,943","$1,598,400"
1008650042,"$2,635,115",$0,"$2,635,115","$794,122",$0,$0,$0,"$3,557,442","$1,623,231"
1012320055,"$2,627,438",$0,"$2,627,438",$0,"$990,000",$0,$0,"$3,790,473","$1,477,035"
4012190032,"$2,620,013",$0,"$2,620,013",$0,$0,$0,"$17,079","$2,637,092","$1,647,510"
3002340024,"$2,600,954",$0,"$2,600,954",$0,$0,$0,$0,"$2,609,546","$939,311"
4058650112,"$2,598,873",$0,"$2,598,873",$0,$0,$0,$0,"$2,769,971","$951,969"
1018900015,"$2,584,724",$0,"$2,584,724",$0,$0,$0,$0,"$2,584,724","$1,169,318"
4015810001,"$2,568,604","$4,400","$2,573,004","$16,951",$0,$0,"$1,545","$2,688,413","$1,062,423"
1015180024,"$2,568,139",$0,"$2,568,139","$528,932","$528,932",$0,$0,"$4,120,863","$1,076,373"
1011420064,"$2,565,785","$3,018,025","$5,583,810","$212,694","$1,114,508",$0,$0,"$7,126,247","$2,410,947"
4021040001,"$2,563,728","$1,750","$2,565,478","$369,800",$0,$0,$0,"$2,938,863","$1,935,928"
1012530021,"$2,562,820",$0,"$2,562,820","$86,461",$0,$0,$0,"$2,988,271","$1,477,353"
1014590030,"$2,562,192","$45,032","$2,607,224",$0,$0,$0,$0,"$2,652,129","$1,923,109"
4012740001,"$2,560,095",$0,"$2,560,095","$64,043",$0,$0,"$83,581","$2,916,993","$1,032,842"
3070520034,"$2,530,774",$0,"$2,530,774",$0,"$112,757",$0,"$2,849,835","$5,566,138","$3,872,776"
1003720060,"$2,525,866",$0,"$2,525,866",$0,$0,$0,$0,"$2,539,184","$635,369"
3079300001,"$2,524,311",$0,"$2,524,311",$0,$0,$0,$0,"$2,568,701","$1,573,392"
1018510008,"$2,514,217","$4,494,479","$7,008,696",$0,"$1,599,639","$8,955,613",$0,"$18,159,567","$5,362,013"
4050250050,"$2,514,067","$99,936","$2,614,003",$0,$0,$0,$0,"$2,736,692","$1,440,811"
4012490018,"$2,509,494","$14,100","$2,523,594",$0,$0,$0,"$148,727","$2,777,901","$1,288,669"
1018900036,"$2,495,537",$0,"$2,495,537",$0,$0,$0,$0,"$2,507,172","$1,172,876"
