BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1, Total Expenses 
1010670004,"$69,473","$447,518","$516,991",$0,"$89,552",$0,$0,"$621,817",$0," $ 186,031 "
3059300036,"$69,417",$0,"$69,417","$2,950","$57,341",$0,$0,"$129,708",$0," $ 78,766 "
1000910009,"$69,375",$0,"$69,375","$128,313","$287,109",$0,$0,"$491,864",$0," $ 144,520 "
1008500064,"$69,372","$2,835,008","$2,904,380",$0,"$489,161",$0,$0,"$3,393,541","$17,271"," $ 878,149 "
1018390125,"$69,326","$38,245","$107,571",$0,$0,$0,$0,"$107,571",$0," $ 72,973 "
1005730031,"$69,311","$500,644","$569,955",$0,$0,$0,$0,"$569,955","$30,147"," $ 188,735 "
3007840041,"$69,238",$0,"$69,238",$0,$0,$0,"$136,702","$205,940","$9,793"," $ 104,587 "
3007840043,"$69,238",$0,"$69,238",$0,$0,$0,"$136,702","$205,940","$9,793"," $ 104,587 "
1015430003,"$69,230","$86,608","$155,838",$0,$0,$0,$0,"$155,838",$0," $ 80,675 "
3012590017,"$69,181",$0,"$69,181",$0,$0,$0,$0,"$69,181",$0," $ 34,659 "
1007380022,"$69,169","$154,100","$223,269",$0,$0,$0,$0,"$223,269","$27,396"," $ 102,639 "
3030310012,"$69,122",$0,"$69,122",$0,$0,$0,$0,"$69,122",$0," $ 37,042 "
1014700028,"$69,000","$198,000","$267,000","$97,500",$0,$0,$0,"$364,500",$0," $ 149,825 "
1007530076,"$68,985","$37,000","$105,985",$0,$0,$0,$0,"$105,985",$0," $ 28,841 "
2033340022,"$68,937",$0,"$68,937",$0,"$66,293",$0,$0,"$159,436",$0," $ 67,129 "
1016270050,"$68,932","$111,175","$180,107",$0,"$48,000",$0,$0,"$228,107","$5,650"," $ 90,917 "
1010370051,"$68,916","$215,549","$284,465",$0,$0,$0,$0,"$284,465",$0," $ 75,425 "
3002610001,"$68,849",$0,"$68,849",$0,$0,$0,$0,"$68,849",$0," $ 27,637 "
1013980065,"$68,839","$218,377","$287,216","$156,000",$0,$0,$0,"$450,269","$26,703"," $ 266,122 "
1006190070,"$68,818","$237,995","$306,813",$0,"$74,000",$0,$0,"$380,813","$6,520"," $ 212,801 "
1003530060,"$68,792","$33,516","$102,308",$0,"$48,119",$0,$0,"$150,427","$7,516"," $ 127,741 "
1004400042,"$68,774","$92,516","$161,290",$0,"$6,912",$0,$0,"$169,179",$0," $ 112,893 "
1004380030,"$68,718","$31,600","$100,318",$0,$0,$0,$0,"$101,227","$21,270"," $ 116,948 "
1004640013,"$68,626","$170,325","$238,951",$0,$0,$0,$0,"$238,951","$14,200"," $ 48,934 "
3012610045,"$68,606",$0,"$68,606",$0,$0,$0,$0,"$68,606",$0," $ 44,503 "
